[10:15:53:510] [INFO   ] PHASE 1: INSTANTIATING SCHEDULER
[10:15:53:543] [INFO   ] PHASE 1.2: CHOOSE CONFIGURATION
[10:16:01:442] [INFO   ] PHASE 2: INSTANTIATING ENVIRONMENT
[10:16:01:482] [INFO   ] PHASE 3: CONNECTING SCHEDULER AND ENVIRONMENT
[10:16:01:860] [FINE   ] GL_VENDOR: null
GL_RENDERER: null
GL_VERSION: null
[10:16:01:861] [INFO   ] associated agent "A1" with entity "connectionA1"
[10:16:01:888] [FINE   ] GL_VENDOR: null
GL_RENDERER: null
GL_VERSION: null
[10:16:01:889] [INFO   ] associated agent "A2" with entity "connectionA2"
[10:16:01:914] [FINE   ] GL_VENDOR: null
GL_RENDERER: null
GL_VERSION: null
[10:16:01:914] [INFO   ] associated agent "A3" with entity "connectionA3"
[10:16:01:915] [INFO   ] PHASE 4: RUNNING
[10:16:05:087] [INFO   ] Thread-10 step() Start in neuem Thread - Step: 0 , Agent: A3
[10:16:05:087] [INFO   ] Thread-9 step() Start in neuem Thread - Step: 0 , Agent: A2
[10:16:05:087] [INFO   ] Thread-8 step() Start in neuem Thread - Step: 0 , Agent: A1
[10:16:05:088] [INFO   ] Thread-9 Before updateMap() - Step: 0 , Agent: A2
[10:16:05:087] [INFO   ] Thread-10 Before updateMap() - Step: 0 , Agent: A3
[10:16:05:088] [INFO   ] updateMap() Start - Agent: A2 , Supervisor: A2
[10:16:05:088] [INFO   ] Thread-8 Before updateMap() - Step: 0 , Agent: A1
[10:16:05:089] [INFO   ] updateMap() Start - Agent: A3 , Supervisor: A3
[10:16:05:089] [INFO   ] updateMap() Start - Agent: A1 , Supervisor: A1
[10:16:05:098] [INFO   ] updateMap() Start - AgentPosition: A2 , java.awt.Point[x=10,y=10]
[10:16:05:098] [INFO   ] updateMap() Start - AgentPosition: A1 , java.awt.Point[x=10,y=10]
[10:16:05:098] [INFO   ] updateMap() Start - AgentPosition: A3 , java.awt.Point[x=10,y=10]
[10:16:05:099] [INFO   ] updateMap() End
